,,,,,,,,,Hs_Own,P-List,P_PLow,Ck_Finish,Frq_Cking,Red_Int,TL_Red_Int,Int_CK_Finsh,Frq_PP,PcVmoney,Ef_FdW_Env,Wcost.mney_Me,Fd_Nwsted,R_Fd_Resp,Fd_Nwst_HH,Wst_Guilt,RB_Fd_Nwst,FdW_Avd,R_FdW_Bdt,E_Lftover,Av-Price,hs2,Wst_Guilt_2,Red_Int_2,Frq_FdW,Self-Reported,Direct Weighed
HFIMI,HFS_ADLT,FDW,Gen_Hed,Age-Hed,Edu_Hed,Marital_Hed,HH_Size,Income_Hed,Hs_Own,P-List,P_PLow,Cook_fn,Cook_frq,Redc_Int,TL_Redc_int,Int_Cook_fn,Purch_frq,PV_Money,Eff_Env,Cost_mny,Fd_nt_sted,Redc_Resp,Fd_nt_hh,Fl_guilt,Rzd.b_Nw,FdW_Avd,Rdc_Bdt,Eat_lftv,Av-Price,hs2,Wst_Guilt_2,Red_Int_2,Frq_FdW,Self_rp,Direct_wd
0.5868747,0.176769488,1,0,28,10,1,2,1,0,0,1,1,3,2,2,3,3,1,1,0,2,1,3,0,3,1,0,1,2000,4,0,0,3,0.03,0.708
0.6191747,0.276417277,6,1,36,6,1,5,1,1,0,4,1,3,3,0,3,6,2,0,0,3,3,2,3,1,4,4,1,2500,3,1,1,1,0.021,0.78
0.6630087,0.352664202,6,0,36,11,0,2,1,0,2,2,2,3,4,1,2,3,1,0,0,3,2,3,2,2,0,1,1,2000,2,0,1,1,0.003,0.0588
0.536176,0.231110345,7,0,62,13,1,3,1,1,2,4,2,3,4,3,1,4,0,0,0,1,3,3,2,4,0,1,1,4000,3,0,1,2,0.012,0.412
0.634329,0.145488303,1,1,68,7,1,5,1,1,2,1,2,2,2,1,3,4,1,1,1,3,1,1,3,3,3,3,1,4000,5,1,0,2,0.014,0.1846
0.6168592,0.214187222,6,1,50,11,1,3,1,0,2,1,2,2,3,1,3,4,1,1,1,2,3,3,3,3,3,3,1,3500,3,0,1,2,0.012,0.0774
0.6273267,0.13519972,2,0,58,13,1,5,2,1,2,4,2,3,3,1,2,4,2,1,1,3,3,3,3,3,3,3,1,7000,5,0,1,2,0.003,0.314
0.6055159,0.123072337,1,1,60,7,1,6,1,1,2,1,2,3,3,1,3,3,2,1,1,3,1,1,3,2,3,3,1,4000,6,0,1,2,0.03,0.1632
0.7818878,0.444254432,2,0,45,11,1,4,1,1,2,1,2,3,3,3,2,3,1,0,1,3,1,4,3,3,3,3,1,5000,2,0,1,2,0.025,0.2166
0.5843285,0.20289184,7,1,51,6,1,6,1,1,2,1,2,3,3,2,2,5,1,1,1,3,3,2,3,1,2,2,1,6000,3,0,1,2,0.013,0.191
0.6717129,0.173121881,1,0,43,12,0,4,1,1,2,1,2,3,4,1,3,5,2,0,1,3,1,3,3,2,3,0,1,3000,5,1,1,2,0.004,0.275
0.6250173,0.236748977,2,0,56,9,0,3,2,1,2,4,2,2,4,0,1,4,1,0,1,3,3,0,1,3,3,3,1,5000,3,0,1,2,0.054,0.3112
0.5967465,0.139426752,3,1,35,13,0,5,1,1,2,4,2,3,3,1,1,5,1,1,1,3,3,4,3,3,1,1,1,7000,5,1,1,1,0.037,0.0754
0.6220447,0.099051704,4,0,41,8,1,8,1,1,2,4,0,3,3,2,3,2,2,1,1,4,2,0,1,4,1,1,1,7000,8,0,1,1,0,0.234
0.5893926,0.156753351,2,1,52,12,1,4,2,1,0,1,1,3,2,3,2,5,1,1,1,0,3,3,3,3,3,3,1,2000,4,1,0,1,0.018,0.2176
0.6105014,0.277500636,3,0,32,6,0,3,2,1,2,2,2,3,3,1,3,5,2,0,1,4,1,0,2,3,3,4,1,4000,3,0,1,2,0.025,0.1692
0.6815441,0.134162224,4,0,70,4,0,6,1,1,2,2,2,3,3,3,3,4,1,0,1,3,1,1,2,3,3,3,0,5000,6,0,1,2,0.038,0.1616
0.5900983,0.106901866,5,1,58,7,1,6,2,1,2,2,1,3,3,1,2,3,1,0,1,3,2,3,3,4,2,3,1,5000,6,1,1,2,0.03,0.2154
0.536998,0.138401546,1,1,40,8,1,5,1,1,0,1,2,3,3,2,0,3,1,1,1,3,3,4,3,3,3,1,1,7000,5,1,1,2,0.014,0.3054
0.6017119,0.211870387,1,1,33,10,1,4,1,1,2,4,2,3,3,1,3,3,2,1,1,3,3,3,4,3,3,3,1,4000,4,1,1,2,0.011,0.102
